Filter      JD        Mag   dMag
B      2454007.60200 17.583 0.018
B      2454009.66300 17.011 0.017
B      2454012.60600 16.501 0.016
B      2454019.60500 16.059 0.014
B      2454021.57900 16.064 0.015
B      2454025.59900 16.127 0.013
B      2454031.57700 16.460 0.015
B      2454034.59600 16.715 0.014
B      2454046.59400 17.693 0.050
B      2454052.63300 18.312 0.026
B      2454054.58600 18.521 0.026
B      2454055.59800 18.575 0.034
B      2454056.59900 18.573 0.031
B      2454062.57900 18.825 0.032
B      2454066.57500 19.003 0.063
B      2454071.56100 19.157 0.158
